article_id,section,topic,paywall_type,publish_date
a_00001,lifestyle,familie,premium,2024-12-20
a_00002,technologie,ki,metered,2025-06-06
a_00003,sport,tennis,metered,2025-10-20
a_00004,lifestyle,reisen,metered,2024-12-15
a_00005,meinung,gastkommentar,metered,2024-11-12
a_00006,sport,ski,free,2025-06-01
a_00007,politik,bundesrat,metered,2026-04-27
a_00008,politik,nahost,metered,2025-11-01
a_00009,meinung,kolumne,metered,2025-09-14
a_00010,politik,bundesrat,metered,2025-09-27
a_00011,politik,abstimmungen,free,2025-09-27
a_00012,feuilleton,musik,free,2026-03-30
a_00013,meinung,kolumne,metered,2025-05-13
a_00014,technologie,climate_tech,free,2025-04-14
a_00015,international,europa,metered,2025-04-21
a_00016,technologie,ki,free,2025-10-12
a_00017,international,afrika,metered,2025-04-12
a_00018,feuilleton,film,free,2026-06-16
a_00019,technologie,climate_tech,metered,2025-12-24
a_00020,politik,usa_politics,premium,2025-05-10
a_00021,wirtschaft,boerse,premium,2025-04-08
a_00022,technologie,climate_tech,metered,2025-07-23
a_00023,feuilleton,theater,free,2026-04-07
a_00024,meinung,leitartikel,metered,2026-06-27
a_00025,international,afrika,metered,2025-09-20
a_00026,lifestyle,gesundheit,metered,2025-01-27
a_00027,feuilleton,literatur,premium,2024-11-26
a_00028,technologie,gadgets,metered,2025-10-15
a_00029,international,klima,premium,2025-11-14
a_00030,wirtschaft,immobilien,metered,2025-06-13
a_00031,meinung,gastkommentar,metered,2026-04-24
a_00032,technologie,gadgets,free,2024-11-29
a_00033,technologie,gadgets,free,2025-05-06
a_00034,sport,tennis,free,2026-02-05
a_00035,sport,eishockey,premium,2025-03-28
a_00036,meinung,gastkommentar,metered,2025-03-01
a_00037,sport,tennis,premium,2026-01-18
a_00038,feuilleton,kunst,premium,2026-04-26
a_00039,lifestyle,reisen,metered,2025-02-20
a_00040,lifestyle,gesundheit,premium,2025-07-12
a_00041,technologie,climate_tech,metered,2026-06-15
a_00042,wirtschaft,makro,premium,2025-01-27
a_00043,meinung,gastkommentar,metered,2025-01-24
a_00044,wirtschaft,boerse,metered,2025-03-30
a_00045,wirtschaft,unternehmen,metered,2025-08-19
a_00046,wirtschaft,immobilien,premium,2026-03-21
a_00047,wirtschaft,immobilien,premium,2025-07-23
a_00048,lifestyle,reisen,free,2025-06-15
a_00049,meinung,gastkommentar,free,2026-03-31
a_00050,technologie,gadgets,metered,2025-04-05
a_00051,international,asien,premium,2025-06-11
a_00052,feuilleton,kunst,free,2025-04-01
a_00053,wirtschaft,unternehmen,metered,2025-01-06
a_00054,wirtschaft,unternehmen,metered,2025-10-20
a_00055,politik,abstimmungen,premium,2026-06-12
a_00056,politik,usa_politics,premium,2025-04-05
a_00057,meinung,leitartikel,metered,2024-12-14
a_00058,technologie,startups,metered,2026-05-22
a_00059,feuilleton,kunst,premium,2025-01-04
a_00060,meinung,kolumne,metered,2024-11-30
a_00061,wirtschaft,boerse,metered,2026-01-22
a_00062,technologie,cybersecurity,premium,2025-02-03
a_00063,technologie,cybersecurity,metered,2026-06-28
a_00064,technologie,cybersecurity,premium,2025-07-19
a_00065,meinung,gastkommentar,metered,2025-12-12
a_00066,lifestyle,reisen,metered,2025-03-07
a_00067,politik,usa_politics,premium,2025-03-09
a_00068,sport,fussball,metered,2026-02-16
a_00069,politik,eu,premium,2025-09-06
a_00070,lifestyle,familie,premium,2026-05-11
a_00071,politik,nahost,free,2026-05-14
a_00072,sport,olympia,metered,2025-10-31
a_00073,wirtschaft,immobilien,metered,2026-02-17
a_00074,technologie,startups,premium,2026-04-03
a_00075,sport,olympia,premium,2025-10-20
a_00076,meinung,leitartikel,metered,2026-03-01
a_00077,international,klima,metered,2024-11-17
a_00078,international,europa,metered,2025-02-05
a_00079,sport,fussball,metered,2025-08-15
a_00080,feuilleton,literatur,metered,2024-12-18
a_00081,feuilleton,film,premium,2025-08-08
a_00082,technologie,climate_tech,metered,2025-11-17
a_00083,international,asien,free,2025-06-12
a_00084,meinung,kolumne,metered,2026-06-20
a_00085,meinung,gastkommentar,free,2026-04-14
a_00086,international,klima,metered,2026-03-20
a_00087,wirtschaft,immobilien,premium,2026-01-07
a_00088,politik,abstimmungen,metered,2025-11-10
a_00089,politik,eu,premium,2025-12-07
a_00090,meinung,kolumne,metered,2025-01-07
a_00091,international,asien,metered,2026-05-24
a_00092,wirtschaft,makro,metered,2026-02-17
a_00093,technologie,climate_tech,metered,2025-04-25
a_00094,international,europa,metered,2025-12-20
a_00095,international,klima,free,2025-07-09
a_00096,lifestyle,gesundheit,metered,2026-05-21
a_00097,feuilleton,literatur,free,2025-09-21
a_00098,technologie,gadgets,metered,2026-01-05
a_00099,meinung,kolumne,metered,2025-02-23
a_00100,sport,fussball,premium,2025-01-02
a_00101,technologie,ki,metered,2026-05-01
a_00102,technologie,ki,premium,2025-11-05
a_00103,lifestyle,essen,metered,2025-12-09
a_00104,meinung,kolumne,metered,2025-07-04
a_00105,technologie,cybersecurity,free,2025-11-18
a_00106,feuilleton,theater,free,2025-07-14
a_00107,sport,fussball,metered,2025-11-22
a_00108,lifestyle,familie,metered,2025-11-20
a_00109,lifestyle,reisen,metered,2025-03-15
a_00110,meinung,leitartikel,free,2026-05-01
a_00111,meinung,kolumne,metered,2026-05-28
a_00112,feuilleton,musik,free,2026-02-05
a_00113,sport,eishockey,premium,2024-11-13
a_00114,technologie,gadgets,metered,2024-11-14
a_00115,politik,eu,metered,2026-03-04
a_00116,politik,nahost,metered,2025-01-29
a_00117,meinung,gastkommentar,metered,2026-06-17
a_00118,technologie,ki,free,2025-06-09
a_00119,international,amerika,metered,2025-02-15
a_00120,sport,olympia,premium,2025-12-21
a_00121,politik,usa_politics,premium,2025-12-22
a_00122,technologie,climate_tech,metered,2025-11-20
a_00123,feuilleton,musik,metered,2026-02-10
a_00124,wirtschaft,makro,metered,2025-09-02
a_00125,meinung,kolumne,metered,2025-05-11
a_00126,technologie,ki,premium,2025-07-20
a_00127,politik,abstimmungen,free,2025-11-18
a_00128,technologie,cybersecurity,free,2026-02-23
a_00129,meinung,gastkommentar,free,2025-07-21
a_00130,technologie,cybersecurity,premium,2024-12-29
a_00131,technologie,cybersecurity,metered,2025-07-02
a_00132,sport,olympia,metered,2025-10-28
a_00133,feuilleton,literatur,metered,2026-02-13
a_00134,technologie,gadgets,free,2026-03-06
a_00135,wirtschaft,banken,free,2026-02-23
a_00136,meinung,gastkommentar,premium,2025-04-15
a_00137,lifestyle,familie,metered,2024-11-15
a_00138,wirtschaft,immobilien,metered,2025-03-03
a_00139,politik,usa_politics,metered,2025-01-12
a_00140,politik,nahost,metered,2025-12-14
a_00141,meinung,kolumne,premium,2025-04-14
a_00142,sport,olympia,free,2025-02-15
a_00143,technologie,gadgets,metered,2025-09-24
a_00144,lifestyle,reisen,metered,2025-08-24
a_00145,international,afrika,metered,2026-01-02
a_00146,feuilleton,film,metered,2026-05-15
a_00147,politik,eu,premium,2024-12-21
a_00148,technologie,gadgets,premium,2024-12-07
a_00149,politik,bundesrat,free,2026-03-11
a_00150,technologie,gadgets,free,2026-05-06
a_00151,feuilleton,kunst,metered,2025-05-23
a_00152,feuilleton,film,premium,2025-02-24
a_00153,politik,usa_politics,metered,2025-05-01
a_00154,politik,usa_politics,premium,2025-08-20
a_00155,wirtschaft,boerse,premium,2024-11-08
a_00156,sport,ski,free,2025-01-20
a_00157,feuilleton,literatur,free,2024-11-22
a_00158,sport,eishockey,free,2026-01-05
a_00159,politik,nahost,premium,2025-07-29
a_00160,wirtschaft,unternehmen,metered,2026-06-29
a_00161,technologie,cybersecurity,premium,2025-07-28
a_00162,lifestyle,reisen,metered,2025-05-03
a_00163,technologie,cybersecurity,metered,2025-05-06
a_00164,international,europa,free,2026-05-16
a_00165,technologie,cybersecurity,free,2025-02-23
a_00166,politik,usa_politics,premium,2026-01-18
a_00167,technologie,ki,metered,2026-04-18
a_00168,wirtschaft,makro,premium,2026-06-10
a_00169,lifestyle,familie,metered,2024-12-22
a_00170,technologie,cybersecurity,metered,2025-12-13
a_00171,lifestyle,familie,metered,2026-03-08
a_00172,international,amerika,free,2025-12-19
a_00173,technologie,climate_tech,metered,2026-03-26
a_00174,international,amerika,premium,2026-05-27
a_00175,meinung,kolumne,metered,2026-04-19
a_00176,international,klima,metered,2026-01-16
a_00177,politik,abstimmungen,metered,2025-02-26
a_00178,sport,eishockey,premium,2026-03-30
a_00179,lifestyle,familie,premium,2025-12-21
a_00180,international,asien,metered,2025-04-22
a_00181,lifestyle,familie,metered,2025-11-28
a_00182,feuilleton,film,metered,2025-02-11
a_00183,technologie,gadgets,premium,2026-03-22
a_00184,politik,abstimmungen,premium,2025-11-24
a_00185,politik,usa_politics,metered,2025-11-26
a_00186,technologie,ki,metered,2025-04-03
a_00187,feuilleton,theater,premium,2025-01-31
a_00188,meinung,leitartikel,free,2025-07-19
a_00189,wirtschaft,banken,free,2025-06-01
a_00190,lifestyle,familie,metered,2026-04-04
a_00191,politik,bundesrat,metered,2026-06-21
a_00192,meinung,gastkommentar,free,2025-11-19
a_00193,technologie,startups,metered,2026-02-27
a_00194,lifestyle,essen,premium,2026-05-27
a_00195,feuilleton,theater,metered,2026-01-20
a_00196,feuilleton,theater,free,2025-06-04
a_00197,meinung,gastkommentar,metered,2025-03-22
a_00198,feuilleton,kunst,metered,2025-04-20
a_00199,technologie,ki,free,2025-05-10
a_00200,lifestyle,gesundheit,free,2025-03-10
a_00201,lifestyle,gesundheit,premium,2025-12-16
a_00202,sport,olympia,metered,2026-06-16
a_00203,technologie,gadgets,metered,2025-04-06
a_00204,wirtschaft,banken,metered,2025-07-19
a_00205,wirtschaft,immobilien,metered,2026-05-26
a_00206,sport,eishockey,metered,2026-05-13
a_00207,wirtschaft,makro,metered,2024-11-16
a_00208,lifestyle,essen,metered,2025-05-29
a_00209,feuilleton,film,free,2025-05-31
a_00210,international,klima,metered,2025-04-24
a_00211,sport,olympia,metered,2026-05-26
a_00212,lifestyle,essen,premium,2026-02-11
a_00213,politik,bundesrat,premium,2024-12-10
a_00214,technologie,gadgets,premium,2025-11-11
a_00215,sport,fussball,metered,2025-10-17
a_00216,lifestyle,reisen,metered,2025-09-15
a_00217,wirtschaft,immobilien,metered,2026-01-13
a_00218,wirtschaft,banken,metered,2025-07-26
a_00219,lifestyle,reisen,premium,2026-01-07
a_00220,meinung,kolumne,metered,2025-08-11
a_00221,meinung,gastkommentar,metered,2026-05-28
a_00222,meinung,gastkommentar,premium,2026-03-22
a_00223,feuilleton,musik,metered,2024-12-03
