user_id,signup_date,initial_plan,country,acquisition_channel,email_hash
u_00001,2026-01-26,free,DE,paid_search,9fbe88eb06662b4466441d3b0bd3eb247661647765b03e8fafc6203d0c0b35f2
u_00002,2025-08-05,digital,DE,organic,35e16e3180d36302079f0d03af90c1c8b832fddf65b702be3b7c6f9eaa8dac95
u_00003,2026-03-21,digital,CH,paid_search,41a274c293a9de545929f4997e9b975e1e09eeb3f52b34d7057e030fc89abd3b
u_00004,2026-01-01,free,CH,newsletter,737484de011993ed14e23b09bf6298af82762b7ea4de6d94ed46cfcb6c524dc0
u_00005,2025-01-03,free,CH,paid_search,10329b6ec67a8ce87c0a3a5a033be51f74c393a8ea09f686907a6e087e003209
u_00006,2026-06-13,free,CH,organic,008454eb914098d92c0cef54f0134eb0fce30999b5510fdc055dd7775a048009
u_00007,2026-01-22,digital,CH,paid_search,6c9d9d2f23fc82ae666d7d723cd8c987a2475c3601dd7eab8ca6199d5f34b26e
u_00008,2026-01-30,digital,IT,direct,76063a491a25913e9b07567121996aeff391c3df3ffa26b6e099bc3abb35badf
u_00009,2025-01-15,digital,CH,paid_search,d37b257f43ccae118bd7b5de1eb906e8db168b528976558ac20bae515627cbf0
u_00010,2025-08-13,free,CH,paid_search,5aaa589babf89e03b37888f3fe62ca47f7a6428869947f64a76cb25a40d40a45
u_00011,2025-06-17,free,DE,organic,c64c5c09a1dde7b076750e526b304c2ca57d2484913b028aeec252633865849e
u_00012,2026-05-09,free,CH,paid_search,592b8aae9ec76ec0fedfc6b950531bb1a534337fd0ef0d01f30bf11b7a893bad
u_00013,2025-11-24,free,CH,newsletter,3a6c64b37b1ea0c3aebf96f54b075fbffa051cc00e3ce0d0f4a9732091d3264c
u_00014,2026-02-23,digital,CH,newsletter,cf840b82029db1c2bd4ad5c6ab6ff26345adbe516fa51bc75e30eb39a972848c
u_00015,2025-08-08,free,FR,paid_search,97545c812794b319af5c692cd2a1519f0b04c4d8f2ec7b914bee00e75f381e16
u_00016,2025-03-06,free,CH,newsletter,e4d5db2e0f33e88b7e1dcd9bf763dc8f38dfa6fdef7f19cf7fc2101cc4fa9e4f
u_00017,2025-09-26,free,CH,paid_search,40421790c03f51092402b2bdb138d1c975291e56521cd95993e70d26bb68ee65
u_00018,2024-12-16,free,DE,newsletter,3c024bd7bb2f59de8c6241078e7cc161e35c6e151278066ea041c60de95e17ad
u_00019,2026-02-27,digital,CH,organic,87a3000a102d471dea57ab20c867562b7a2ea688a71c29abd75d632a462b7b20
u_00020,2025-11-15,free,DE,paid_search,c6cc789a6ac225c2f4d2b982e9970dd885ca57342ba80a51463e92f459bbe8fd
