user_id,event_date,event_type,from_plan,to_plan,monthly_price_chf
u_00001,2026-01-26,start,,free,0.0
u_00002,2025-08-05,start,,digital,24.0
u_00003,2026-03-21,start,,digital,24.0
u_00004,2026-01-01,start,,free,0.0
u_00004,2026-03-02,upgrade,free,digital,24.0
u_00005,2025-01-03,start,,free,0.0
u_00005,2025-04-03,upgrade,free,digital,24.0
u_00005,2025-12-29,upgrade,digital,premium,39.0
u_00005,2026-01-28,cancel,premium,,0.0
u_00006,2026-06-13,start,,free,0.0
u_00007,2026-01-22,start,,digital,24.0
u_00008,2026-01-30,start,,digital,24.0
u_00009,2025-01-15,start,,digital,24.0
u_00009,2025-03-16,cancel,digital,,0.0
u_00010,2025-08-13,start,,free,0.0
u_00010,2025-12-11,upgrade,free,digital,24.0
u_00011,2025-06-17,start,,free,0.0
u_00012,2026-05-09,start,,free,0.0
u_00013,2025-11-24,start,,free,0.0
u_00014,2026-02-23,start,,digital,24.0
u_00015,2025-08-08,start,,free,0.0
u_00015,2025-11-06,upgrade,free,digital,24.0
u_00015,2026-04-05,cancel,digital,,0.0
u_00016,2025-03-06,start,,free,0.0
u_00017,2025-09-26,start,,free,0.0
u_00018,2024-12-16,start,,free,0.0
u_00019,2026-02-27,start,,digital,24.0
u_00019,2026-04-28,cancel,digital,,0.0
u_00020,2025-11-15,start,,free,0.0
u_00021,2026-01-21,start,,premium,39.0
u_00022,2025-06-06,start,,digital,24.0
u_00023,2026-06-09,start,,premium,39.0
u_00024,2026-04-15,start,,digital,24.0
u_00025,2026-01-27,start,,digital,24.0
u_00026,2025-02-11,start,,digital,24.0
u_00027,2025-08-25,start,,free,0.0
u_00028,2024-12-02,start,,free,0.0
u_00029,2025-01-23,start,,digital,24.0
u_00030,2025-12-22,start,,free,0.0
u_00031,2026-01-16,start,,free,0.0
u_00032,2026-06-07,start,,premium,39.0
u_00033,2025-05-16,start,,free,0.0
u_00034,2025-06-17,start,,free,0.0
u_00035,2025-08-27,start,,digital,24.0
u_00035,2026-01-24,cancel,digital,,0.0
u_00036,2025-02-07,start,,free,0.0
u_00036,2026-04-03,upgrade,free,digital,24.0
u_00037,2025-01-15,start,,premium,39.0
u_00037,2026-03-11,cancel,premium,,0.0
u_00038,2025-09-01,start,,free,0.0
u_00038,2025-10-31,upgrade,free,digital,24.0
u_00039,2025-03-06,start,,premium,39.0
u_00039,2025-08-03,cancel,premium,,0.0
u_00040,2025-12-13,start,,digital,24.0
u_00041,2025-08-04,start,,free,0.0
u_00042,2026-03-02,start,,free,0.0
u_00043,2026-01-02,start,,free,0.0
u_00044,2025-05-06,start,,free,0.0
u_00044,2026-06-30,cancel,free,,0.0
u_00045,2026-03-02,start,,free,0.0
u_00046,2026-02-10,start,,print,59.0
u_00047,2025-06-29,start,,free,0.0
u_00047,2025-09-27,upgrade,free,digital,24.0
u_00048,2025-04-19,start,,digital,24.0
u_00049,2025-12-22,start,,free,0.0
u_00049,2026-01-21,cancel,free,,0.0
u_00050,2025-01-18,start,,print,59.0
u_00051,2025-02-15,start,,free,0.0
u_00052,2024-11-06,start,,free,0.0
u_00052,2025-12-01,upgrade,free,digital,24.0
u_00052,2026-05-30,upgrade,digital,premium,39.0
u_00052,2026-06-29,cancel,premium,,0.0
u_00053,2026-01-30,start,,digital,24.0
u_00054,2025-12-09,start,,free,0.0
u_00055,2026-01-04,start,,digital,24.0
u_00055,2026-06-03,upgrade,digital,premium,39.0
u_00056,2026-01-28,start,,free,0.0
u_00057,2025-08-20,start,,free,0.0
u_00057,2026-04-17,upgrade,free,digital,24.0
u_00058,2025-10-01,start,,free,0.0
u_00059,2025-01-18,start,,digital,24.0
u_00060,2025-01-10,start,,free,0.0
u_00060,2026-02-04,upgrade,free,digital,24.0
u_00061,2025-12-12,start,,free,0.0
u_00061,2026-01-11,upgrade,free,digital,24.0
u_00062,2025-08-28,start,,free,0.0
u_00062,2025-10-27,upgrade,free,digital,24.0
u_00063,2025-09-30,start,,free,0.0
u_00063,2025-10-30,upgrade,free,digital,24.0
u_00064,2026-01-23,start,,free,0.0
u_00065,2025-11-18,start,,premium,39.0
u_00066,2025-09-26,start,,free,0.0
u_00066,2025-11-25,cancel,free,,0.0
u_00067,2025-09-28,start,,digital,24.0
u_00067,2026-01-26,cancel,digital,,0.0
u_00068,2025-04-30,start,,free,0.0
u_00068,2025-11-26,upgrade,free,digital,24.0
u_00069,2024-11-23,start,,free,0.0
u_00069,2025-09-19,upgrade,free,digital,24.0
u_00069,2026-04-17,upgrade,digital,premium,39.0
u_00070,2025-08-04,start,,free,0.0
u_00071,2025-02-25,start,,free,0.0
u_00071,2026-03-22,upgrade,free,digital,24.0
u_00072,2025-07-14,start,,free,0.0
u_00072,2026-03-11,upgrade,free,digital,24.0
u_00073,2026-03-17,start,,free,0.0
u_00074,2025-03-11,start,,free,0.0
u_00074,2025-10-07,upgrade,free,digital,24.0
u_00075,2024-12-12,start,,print,59.0
u_00076,2025-04-14,start,,free,0.0
u_00077,2025-04-23,start,,free,0.0
u_00077,2025-08-21,cancel,free,,0.0
u_00078,2025-12-07,start,,free,0.0
u_00079,2025-09-27,start,,free,0.0
u_00080,2026-01-29,start,,digital,24.0
u_00081,2025-12-09,start,,free,0.0
u_00082,2025-07-13,start,,digital,24.0
u_00082,2025-08-12,cancel,digital,,0.0
u_00083,2026-02-17,start,,free,0.0
u_00083,2026-04-18,upgrade,free,digital,24.0
u_00084,2025-01-27,start,,free,0.0
u_00085,2024-11-17,start,,premium,39.0
u_00086,2025-01-02,start,,free,0.0
u_00086,2025-06-01,cancel,free,,0.0
u_00087,2026-01-09,start,,digital,24.0
u_00088,2025-08-22,start,,free,0.0
u_00089,2025-01-25,start,,premium,39.0
u_00089,2026-03-21,cancel,premium,,0.0
u_00090,2025-09-09,start,,free,0.0
u_00091,2025-01-22,start,,free,0.0
u_00091,2025-02-21,upgrade,free,digital,24.0
